Date and hour,load
1/1/2014 1:00,6807
1/1/2014 2:00,6601
1/1/2014 3:00,6427
1/1/2014 4:00,6336
1/1/2014 5:00,6335
1/1/2014 6:00,6460
1/1/2014 7:00,6661
1/1/2014 8:00,6907
1/1/2014 9:00,7094
1/1/2014 10:00,7263
1/1/2014 11:00,7339
1/1/2014 12:00,7401
1/1/2014 13:00,7404
1/1/2014 14:00,7316
1/1/2014 15:00,7327
1/1/2014 16:00,7535
1/1/2014 17:00,8122
1/1/2014 18:00,8429
1/1/2014 19:00,8318
1/1/2014 20:00,8128
1/1/2014 21:00,8005
1/1/2014 22:00,7687
1/1/2014 23:00,7330
1/2/2014 0:00,6989
1/2/2014 1:00,6749
1/2/2014 2:00,6635
1/2/2014 3:00,6607
1/2/2014 4:00,6617
1/2/2014 5:00,6737
1/2/2014 6:00,7039
1/2/2014 7:00,7570
1/2/2014 8:00,8171
1/2/2014 9:00,8500
1/2/2014 10:00,8649
1/2/2014 11:00,8744
1/2/2014 12:00,8765
1/2/2014 13:00,8816
1/2/2014 14:00,8828
1/2/2014 15:00,8890
1/2/2014 16:00,9009
1/2/2014 17:00,9468
1/2/2014 18:00,9734
1/2/2014 19:00,9591
1/2/2014 20:00,9369
1/2/2014 21:00,9068
1/2/2014 22:00,8712
1/2/2014 23:00,8210
1/3/2014 0:00,7724
1/3/2014 1:00,7349
1/3/2014 2:00,7164
1/3/2014 3:00,7061
1/3/2014 4:00,7010
1/3/2014 5:00,7117
1/3/2014 6:00,7390
1/3/2014 7:00,7844
1/3/2014 8:00,8421
1/3/2014 9:00,8649
1/3/2014 10:00,8715
1/3/2014 11:00,8708
1/3/2014 12:00,8714
1/3/2014 13:00,8645
1/3/2014 14:00,8600
1/3/2014 15:00,8531
1/3/2014 16:00,8620
1/3/2014 17:00,9031
1/3/2014 18:00,9162
1/3/2014 19:00,8873
1/3/2014 20:00,8559
1/3/2014 21:00,8281
1/3/2014 22:00,7975
1/3/2014 23:00,7588
1/4/2014 0:00,7145
1/4/2014 1:00,6804
1/4/2014 2:00,6646
1/4/2014 3:00,6547
1/4/2014 4:00,6537
1/4/2014 5:00,6571
1/4/2014 6:00,6746
1/4/2014 7:00,7124
1/4/2014 8:00,7478
1/4/2014 9:00,7831
1/4/2014 10:00,8105
1/4/2014 11:00,8184
1/4/2014 12:00,8175
1/4/2014 13:00,8174
1/4/2014 14:00,8146
1/4/2014 15:00,8198
1/4/2014 16:00,8359
1/4/2014 17:00,8823
1/4/2014 18:00,9063
1/4/2014 19:00,8900
1/4/2014 20:00,8669
1/4/2014 21:00,8406
1/4/2014 22:00,8138
1/4/2014 23:00,7790
1/5/2014 0:00,7404
1/5/2014 1:00,7108
1/5/2014 2:00,6944
1/5/2014 3:00,6824
1/5/2014 4:00,6838
1/5/2014 5:00,6889
1/5/2014 6:00,7014
1/5/2014 7:00,7258
1/5/2014 8:00,7620
1/5/2014 9:00,7933
